Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18205159117,"Apr 21, 2026, 10:48:29 PM",Afternoon Run,Run,,2357,8.05,154.0,240,,,,activities/19307828956.fit.gz,,,2357.0,2357.0,8051.7,4.4,3.416,38.0,37.7,558.9,577.7,14.4,0.0,,,82.0,80.0,154.0,140.0,,,372.0,,,240.0,,,,,,,,,,,,,0.0,,1.0,8105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.416,154.6,,,,6304.0,0.0,,,,3.439,,,,,,,,,,,,""
18162866428,"Apr 18, 2026, 5:45:04 PM",Morning Run,Run,So what’s the deal with airline food??,5797,19.15,177.0,702,,,,activities/19265156807.fit.gz,,,5797.0,5647.0,19153.2,4.7,3.392,173.9,174.2,572.0,714.4,13.6,0.0,,,83.0,80.0,177.0,155.0,,,927.0,,,702.0,,,,,,,,,,,,,0.0,,1.0,19487.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.304,271.0,,,,14976.0,0.0,,,,3.451,,,0.0,0.0,,,,0.0,,,,""
18135022253,"Apr 16, 2026, 4:53:44 PM",Morning Run,Run,,2585,8.36,154.0,267,,,,activities/19237073630.fit.gz,,,2585.0,2585.0,8366.5,4.1,3.237,36.9,36.9,571.2,580.2,7.2,0.0,,,83.0,81.0,154.0,141.0,,,405.0,,,267.0,,,,,,,,,,,,,0.0,,1.0,8410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.237,319.9,,,,6938.0,0.0,,,,3.253,,,,,,,,,,,,""
18123799750,"Apr 15, 2026, 7:35:11 PM",Lunch Run,Run,,3862,12.47,153.0,382,,,,activities/19225755489.fit.gz,,,3862.0,3814.0,12475.6,4.286,3.271,101.0,100.9,523.8,581.9,8.3,0.0,,,98.0,80.0,153.0,139.0,,,549.0,,,382.0,,,,,,,,,,,,,0.0,,1.0,12614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,635.8,,,,10120.0,0.0,,,,3.307,,,,,,,,,,,,""
18071226852,"Apr 11, 2026, 5:40:48 PM",Morning Run,Run,18 miles (with a secret evil mile),8955,28.88,174.0,1083,,,,activities/19172722105.fit.gz,,,8955.0,8888.0,28882.9,4.367,3.25,104.7,109.1,567.3,605.6,16.3,0.0,,,84.0,80.0,174.0,153.0,,,1451.0,,,1083.0,,,,,,,,,,,,,0.0,,1.0,29024.6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.225,1152.0,,,,23666.0,0.0,,,,3.266,,,0.0,0.0,,,,0.0,,,,""
18046142194,"Apr 9, 2026, 8:03:32 PM",Afternoon Run,Run,,2848,9.29,168.0,324,,,,activities/19147397917.fit.gz,,,2848.0,2793.0,9296.1,4.367,3.328,89.7,90.1,527.9,582.4,17.6,0.0,,,83.0,80.0,168.0,149.0,,,494.0,,,324.0,,,,,,,,,,,,,0.0,,1.0,9498.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.264,183.3,,,,7394.0,0.0,,,,3.401,,,,,,,,,,,,""
18032825741,"Apr 8, 2026, 7:43:09 PM",Lunch Run,Run,,3656,11.88,153.0,382,,,,activities/19133968519.fit.gz,,,3656.0,3581.0,11879.0,4.143,3.317,50.0,47.8,569.0,602.3,12.1,0.0,,,82.0,79.0,153.0,143.0,,,559.0,,,382.0,,,,,,,,,,,,,0.0,,1.0,11938.3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.249,172.5,,,,9440.0,0.0,,,,3.334,,,,,,,,,,,,""
18017901397,"Apr 7, 2026, 6:50:52 PM",Lunch Run,Run,"",2504,8.83,,,,,,activities/18017901397.gpx,,,2504.0,2504.0,8836.8,5.45,3.529,71.8,71.8,556.5,577.5,41.2,0.0,,,,,,,,,789.0,,,,,,,,,,,,,,,,0.0,,1.0,9130.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.529,174.0,,,,6492.0,0.0,,,,3.646,,,,,,,,,,,,""
17969714064,"Apr 4, 2026, 12:04:03 AM",Afternoon Run,Run,,1864,6.13,160.0,205,,,,activities/19070011612.fit.gz,,,1864.0,1864.0,6129.4,4.2,3.288,60.0,60.2,0.1,39.9,18.3,0.0,,,82.0,78.0,160.0,147.0,,,322.0,,,205.0,,,,,,,,,,,,,0.0,,1.0,6259.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.288,1404.4,,,,4832.0,0.0,,,,3.358,,,,,,,,,,,,""
17954205526,"Apr 2, 2026, 6:56:42 PM",Lunch Run,Run,,3518,12.87,181.0,445,,,,activities/19054378707.fit.gz,,,3518.0,3518.0,12872.2,4.48,3.659,65.1,65.1,559.2,577.8,7.6,0.0,,,83.0,80.0,181.0,157.0,,,675.0,,,445.0,,,,,,,,,,,,,0.0,,1.0,12943.6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.659,164.7,,,,9404.0,0.0,,,,3.679,,,,,,,,,,,,""
