Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Elapsed Time.1,Moving Time,Distance.1,Average Speed,Average Elapsed Speed
5475941262,"Jun 14, 2021, 10:09:00 PM",Afternoon Run,Run,1252,4.18,1252,1252,4184.3,3.342,0.0
5493047424,"Jun 17, 2021, 10:08:00 PM",Afternoon Run,Run,2760,8.04,2760,2760,8046.7,2.915,0.0
5559775882,"Jul 1, 2021, 3:10:00 PM",Morning Run,Run,1620,4.82,1620,1620,4828.0,2.98,0.0
5584912840,"Jul 6, 2021, 3:51:25 PM",Morning Run,Run,2516,7.72,2516,2516,7724.9,3.07,0.0
5590027294,"Jul 7, 2021, 3:16:41 PM",Morning Run,Run,2077,5.25,2077,2070,5258.7,2.54,0.0
5612654783,"Jul 9, 2021, 3:20:00 PM",Morning Run,Run,2133,5.15,2133,2133,5149.9,2.414,2.414
5623071197,"Jul 13, 2021, 8:46:51 PM",Afternoon Run,Run,1920,6.59,1920,1920,6598.3,3.437,3.437
5633329196,"Jul 14, 2021, 3:10:00 PM",Morning Run,Run,3180,9.65,3180,3180,9656.1,3.037,3.037
5648199230,"Jul 16, 2021, 3:16:00 PM",Morning Run,Run,2640,4.5,2640,2640,4506.2,1.707,1.707
5740719221,"Aug 4, 2021, 3:15:10 PM",Morning Run,Run,3960,11.26,3960,3960,11265.4,2.845,2.845
5764756259,"Aug 9, 2021, 3:04:00 PM",Morning Run,Run,3060,9.65,3060,3060,9656.1,3.156,3.156
5782817966,"Aug 11, 2021, 3:22:00 PM",Morning Run,Run,2520,8.69,2520,2520,8690.5,3.449,3.449
5802600426,"Aug 16, 2021, 3:20:48 PM",Morning Run,Run,3134,9.17,3134,3134,9173.3,2.927,2.927
5808042469,"Aug 17, 2021, 3:49:35 PM",Morning Run,Run,2965,9.33,2965,2965,9334.2,3.148,3.148
5813914816,"Aug 18, 2021, 3:30:00 PM",Morning Run,Run,1860,7.4,1860,1860,7403.0,3.98,3.98
5819213263,"Aug 19, 2021, 4:00:11 PM",Morning Run,Run,3900,10.94,3900,3900,10943.6,2.806,2.806
5826551442,"Aug 20, 2021, 8:50:40 PM",Afternoon Run,Run,189,0.54,189,182,547.8,3.01,2.898
5848231215,"Aug 24, 2021, 10:37:00 PM",Afternoon Run,Run,2640,8.2,2640,2640,8207.7,3.109,3.109
6546128671,"Jan 18, 2022, 11:52:44 PM",Afternoon Run,Run,2235,7.07,2235,2208,7077.4,3.205,3.167
7331483010,"Jun 18, 2022, 9:35:00 PM",Afternoon Run,Run,2593,7.88,2593,2593,7885.8,3.041,3.041
7348057587,"Jun 21, 2022, 8:20:00 PM",Afternoon Run,Run,1500,4.82,1500,1500,4828.0,3.219,3.219
7368323832,"Jun 25, 2022, 8:00:31 PM",Afternoon Run,Run,3060,10.3,3060,3060,10299.8,3.366,3.366
7378866554,"Jun 27, 2022, 7:01:00 PM",Lunch Run,Run,2346,8.2,2346,2346,8207.7,3.499,3.499
7421499668,"Jul 5, 2022, 8:50:45 PM",Afternoon Run,Run,2470,8.85,2470,2470,8851.4,3.584,3.584
7436410600,"Jul 6, 2022, 11:12:00 PM",Afternoon Run,Run,1470,5.63,1470,1470,5632.7,3.832,3.832
7452791981,"Jul 10, 2022, 7:05:00 PM",Lunch Run,Run,1894,6.76,1894,1894,6759.3,3.569,3.569
7460834726,"Jul 12, 2022, 12:03:00 AM",Afternoon Run,Run,2885,10.13,2885,2885,10138.9,3.514,3.514
7469735899,"Jul 14, 2022, 3:27:00 PM",Morning Run,Run,2970,10.13,2970,2970,10138.9,3.414,3.414
7492506186,"Jul 18, 2022, 3:25:00 PM",Night Run,Run,2974,10.13,2974,2974,10138.9,3.409,3.409
7494774633,"Jul 19, 2022, 3:21:17 PM",Morning Run,Run,1946,6.72,1946,1904,6722.0,3.53,3.454
7538848268,"Jul 27, 2022, 6:07:45 PM",Lunch Run,Run,1488,4.93,1488,1488,4937.5,3.318,3.318
7538852165,"Jul 26, 2022, 11:26:38 PM",Afternoon Run,Run,1409,3.57,1409,1146,3575.8,3.12,2.538
7539174453,"Jul 26, 2022, 5:24:00 PM",Morning Run,Run,2220,7.4,2220,2220,7403.0,3.335,3.335
7539234819,"Jul 27, 2022, 3:36:00 PM",Morning Run,Run,903,3.05,903,903,3057.8,3.386,3.386
7539237906,"Jul 27, 2022, 3:50:00 PM",Morning Run,Run,819,3.38,819,819,3379.6,4.127,4.127
7571097750,"Aug 2, 2022, 3:22:00 PM",Morning Run,Run,2835,10.13,2835,2835,10138.9,3.576,3.576
7583268687,"Aug 3, 2022, 3:21:59 PM",Morning Run,Run,2204,7.08,2204,2204,7081.1,3.213,3.213
7595403525,"Aug 6, 2022, 3:07:00 PM",Morning Run,Run,3678,12.87,3678,3678,12874.8,3.5,3.5
7604051433,"Aug 8, 2022, 3:20:38 PM",Morning Run,Run,3239,10.21,3239,2792,10217.0,3.659,3.154
7617697324,"Aug 10, 2022, 3:15:00 PM",Morning Run,Run,871,2.89,871,871,2896.8,3.326,3.326
7617698958,"Aug 10, 2022, 3:53:00 PM",Morning Run,Run,1200,5.03,1200,1200,5029.2,4.191,4.191
7617702326,"Aug 10, 2022, 3:16:00 PM",Morning Run,Run,530,1.61,530,530,1609.3,3.037,3.037
7627532559,"Aug 11, 2022, 5:41:12 PM",Morning Run,Run,3549,11.61,3549,3429,11612.9,3.387,3.272
7651719636,"Aug 15, 2022, 3:31:00 PM",Morning Run,Run,906,3.21,906,906,3218.7,3.553,3.553
7651721503,"Aug 16, 2022, 3:52:00 AM",Evening Run,Run,2052,6.43,2052,2052,6437.4,3.137,3.137
7651723167,"Aug 17, 2022, 6:05:44 AM",Night Run,Run,2850,9.65,2850,2850,9656.1,3.388,3.388
7660500691,"Aug 17, 2022, 3:31:00 PM",Morning Run,Run,2923,10.13,2923,2923,10138.9,3.469,3.469
7660509044,"Aug 18, 2022, 3:33:00 PM",Morning Run,Run,816,2.72,816,816,2724.5,3.339,3.339
7660511793,"Aug 18, 2022, 3:38:00 PM",Morning Run,Run,1021,4.34,1021,1021,4345.2,4.256,4.256
7660520563,"Aug 18, 2022, 4:34:00 PM",Morning Run,Run,901,2.73,901,901,2735.9,3.037,3.037
7671280279,"Aug 19, 2022, 3:12:00 PM",Morning Run,Run,1248,4.18,1248,1248,4184.3,3.353,3.353
7671525728,"Aug 20, 2022, 3:13:00 PM",Morning Run,Run,3696,12.87,3696,3696,12874.7,3.483,3.483
7954814816,"Oct 11, 2022, 1:42:05 PM",Lunch Run,Run,17321,4.82,17321,1465,4819.7,3.29,0.278
9242656299,"Jun 10, 2023, 4:40:53 PM",Morning Run,Run,2607,8.85,2607,2607,8851.4,3.395,3.395
9261822528,"Jun 14, 2023, 3:35:37 AM",Evening Run,Run,1486,4.87,1486,1466,4878.0,3.327,3.283
9274472250,"Jun 15, 2023, 7:41:00 PM",Lunch Run,Run,2162,8.09,2162,2162,8091.6,3.743,3.743
9299174501,"Jun 20, 2023, 5:50:09 AM",Night Run,Run,2700,9.65,2700,2700,9656.1,3.576,3.576
