Date,Instagram Banished,Miles Ran,Pushups,Duolingo,Flossed,Day of the Week
1/1/26,1,4.47,35,0,1,Thursday
1/2/26,1,,35,1,1,Friday
1/3/26,1,,35,1,1,Saturday
1/4/26,0,,35,1,1,Sunday
1/5/26,1,,,1,0,Monday
1/6/26,1,,35,1,1,Tuesday
1/7/26,1,4.75,,1,0,Wednesday
1/8/26,1,,41,1,1,Thursday
1/9/26,1,,39,1,0,Friday
1/10/26,1,4,35,1,1,Saturday
1/11/26,1,,36,1,1,Sunday
1/12/26,1,7.16,35,1,0,Monday
1/13/26,1,3.5,,1,1,Tuesday
1/14/26,1,,35,1,1,Wednesday
1/15/26,1,6.01,35,1,0,Thursday
1/16/26,0,4.22,35,1,1,Friday
1/17/26,1,,,1,1,Saturday
1/18/26,1,3.47,,1,0,Sunday
1/19/26,0,,35,1,1,Monday
1/20/26,1,5.7,80,1,1,Tuesday
1/21/26,1,6.88,35,1,1,Wednesday
1/22/26,1,5.1,35,1,1,Thursday
1/23/26,0,,,1,1,Friday
1/24/26,1,8,,1,0,Saturday
1/25/26,1,,,1,1,Sunday
1/26/26,1,,35,1,1,Monday
1/27/26,0,3.45,80,1,1,Tuesday
1/28/26,1,4.7,35,1,0,Wednesday
1/29/26,1,3.39,40,1,0,Thursday
1/30/26,0,,,1,0,Friday
1/31/26,1,9.55,,1,0,Saturday
2/1/26,1,,35,1,1,Sunday
2/2/26,1,,,1,1,Monday
2/3/26,0,3.2,35,1,1,Tuesday
2/4/26,1,5.16,35,1,1,Wednesday
2/5/26,1,3.18,35,1,1,Thursday
2/6/26,0,,,1,0,Friday
2/7/26,1,6.17,,1,0,Saturday
2/8/26,1,,35,1,1,Sunday
2/9/26,1,3.4,80,1,1,Monday
2/10/26,1,3.6,35,1,1,Tuesday
2/11/26,1,6,35,1,1,Wednesday
2/12/26,1,3.45,35,1,1,Thursday
2/13/26,1,,,1,1,Friday
2/14/26,0,12.84,,1,1,Saturday
2/15/26,1,,,1,0,Sunday
2/16/26,1,,35,1,1,Monday
2/17/26,1,3.4,35,1,1,Tuesday
2/18/26,1,6.6,,1,1,Wednesday
2/19/26,1,3.08,,1,1,Thursday
2/20/26,1,12.01,,1,1,Friday
2/21/26,1,,,1,0,Saturday
2/22/26,0,,,1,1,Sunday
2/23/26,1,,,1,1,Monday
2/24/26,1,3.04,,1,1,Tuesday
2/25/26,1,6.83,,1,1,Wednesday
2/26/26,1,3.43,35,1,0,Thursday
2/27/26,1,,,1,0,Friday
2/28/26,0,9.1,,0,0,Saturday
3/1/26,0,,35,1,1,Sunday
3/2/26,0,4.12,,1,1,Monday
3/3/26,0,8.18,,1,0,Tuesday
3/4/26,1,4.46,,1,1,Wednesday
3/5/26,1,,,1,0,Thursday
3/6/26,1,15,,1,1,Friday
3/7/26,0,,,0,1,Saturday
3/8/26,0,,,1,0,Sunday
3/9/26,0,,,1,0,Monday
3/10/26,1,,,1,0,Tuesday
3/11/26,1,4.1,,1,1,Wednesday
3/12/26,0,,,1,1,Thursday
3/13/26,1,,35,1,0,Friday
3/14/26,1,2.5,,1,1,Saturday
3/15/26,1,14.75,35,1,1,Sunday
3/16/26,1,,30,1,1,Monday
3/17/26,0,5,30,1,1,Tuesday
3/18/26,0,8.02,30,1,1,Wednesday
3/19/26,1,5,,1,1,Thursday
3/20/26,1,,,0,0,Friday
3/21/26,1,17,,0,0,Saturday
3/22/26,0,,30,1,1,Sunday
3/23/26,1,,,1,1,Monday
3/24/26,1,4,,1,0,Tuesday
3/25/26,1,8.4,,1,1,Wednesday
3/26/26,1,3.92,,1,0,Thursday
3/27/26,1,,,1,1,Friday
3/28/26,1,18,,0,0,Saturday
3/29/26,0,,,1,1,Sunday
3/30/26,1,,,1,0,Monday
3/31/26,1,5.42,,0,1,Tuesday
4/1/26,1,,,1,1,Wednesday
4/2/26,1,8,,1,0,Thursday
4/3/26,1,3.8,,1,1,Friday
4/4/26,0,,,1,0,Saturday
4/5/26,0,,,1,0,Sunday
4/6/26,1,,,0,0,Monday
4/7/26,1,5.5,,1,1,Tuesday
4/8/26,1,7.4,,1,0,Wednesday
4/9/26,0,5.77,,1,1,Thursday
4/10/26,1,,,1,1,Friday
4/11/26,0,19,,1,0,Saturday
4/12/26,1,,,1,1,Sunday
4/13/26,1,,,0,0,Monday
4/14/26,1,,,1,1,Tuesday
4/15/26,1,7.75,,1,0,Wednesday
4/16/26,1,5.19,,1,1,Thursday
4/17/26,0,,,1,1,Friday
4/18/26,1,11.9,,1,0,Saturday
4/19/26,0,,,1,0,Sunday
4/20/26,1,,,1,0,Monday
4/21/26,1,5,,1,1,Tuesday
4/22/26,1,5,,1,0,Wednesday
